Sttn_Nm,HYRIV_ID,ele_mt_uav,slp_dg_uav,sgr_dk_rav,inu_pc_ult,gwt_cm_cav,glc_cl_cmj,pnv_cl_cmj,wet_pc_u01,wet_pc_u02,wet_pc_u03,wet_pc_u04,wet_pc_u05,wet_pc_u06,wet_pc_u07,wet_pc_u08,wet_pc_u09,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,lit_cl_cmj,ero_kh_uav
1104150_GRDC,10004056,762,46,5,15,412,12,11,0,0,0,0,0,0,1,0,1,0,0,22,35,43,3,2111
1104450_GRDC,10001083,390,84,15,15,455,16,9,0,0,0,0,0,0,0,0,0,0,0,25,35,40,3,5705
1104600_GRDC,10002093,950,70,49,56,636,12,11,0,0,0,0,0,0,0,0,0,0,0,21,32,46,6,5043
1104800_GRDC,10001949,649,109,36,0,414,16,11,0,0,0,0,0,0,0,0,0,0,0,25,35,41,6,9539
1107700_GRDC,10009743,760,64,39,15,463,12,9,0,0,0,0,0,0,0,0,0,0,0,23,34,43,10,3472
1134110_GRDC,10577829,395,16,6,2,130,18,9,0,0,0,3,0,0,0,0,0,0,0,27,19,53,8,1221
1134500_GRDC,10474513,397,16,4,11,16,13,10,0,0,0,6,0,0,0,0,0,0,0,25,21,55,1,2371
1159110_GRDC,11516095,1328,45,24,0,394,14,12,0,0,0,0,0,0,0,0,0,0,0,28,10,62,3,412
1159120_GRDC,11516275,1453,47,30,0,330,13,12,0,0,0,0,0,0,0,0,0,0,0,28,10,62,3,577
1159125_GRDC,11514275,1092,11,64,0,572,14,12,0,0,0,0,0,0,0,0,0,0,0,23,7,70,3,212
1159130_GRDC,11507423,931,8,0,22,144,14,14,0,0,0,0,0,0,20,0,6,0,0,29,8,63,3,761
1159131_GRDC,11513409,1345,18,8,1,205,14,12,0,0,0,0,0,0,0,0,0,0,0,29,10,61,3,481
1159305_GRDC,11507887,1484,24,16,0,438,12,10,0,0,0,0,0,0,0,0,0,0,0,27,12,61,3,1153
1159310_GRDC,11497994,1422,11,19,0,201,16,9,0,0,0,0,0,0,0,0,0,0,0,27,16,57,3,1209
1159320_GRDC,11501927,1407,9,22,0,84,12,10,0,0,0,0,0,0,0,0,0,0,0,26,15,59,3,789
1159321_GRDC,11502766,1554,28,21,0,213,12,10,0,0,0,0,0,0,0,0,0,0,0,27,18,55,3,2028
1159325_GRDC,11503488,1510,21,37,0,253,12,10,0,0,0,0,0,0,0,0,0,0,0,27,17,56,3,1413
1159330_GRDC,11497012,1361,13,22,0,82,12,9,0,0,0,0,0,0,0,0,0,0,0,27,16,58,3,1317
1159333_GRDC,11497996,1496,22,18,0,107,12,9,0,1,0,0,0,0,0,0,0,0,0,26,18,56,3,2084
1159335_GRDC,11496935,1136,3,0,0,204,12,9,0,0,0,0,0,0,0,0,0,0,0,30,16,54,3,910
1159337_GRDC,11496322,1448,18,0,0,6,16,9,0,0,0,0,0,0,0,0,0,0,0,27,17,56,3,1849
1159400_GRDC,11484697,1403,4,15,3,274,16,10,0,0,0,0,0,0,0,0,0,0,0,25,15,60,3,3182
1159403_GRDC,11487348,1343,4,4,2,64,12,10,0,0,0,0,0,0,0,0,0,0,0,26,15,58,3,2011
1159405_GRDC,11491787,1337,4,7,2,88,12,10,0,0,0,0,0,0,0,0,0,0,0,27,15,58,6,1748
1159413_GRDC,11487644,1287,1,15,0,172,16,9,0,0,0,0,0,0,0,0,0,0,0,26,20,54,3,2681
1159415_GRDC,11489630,1450,18,5,1,82,15,9,0,1,0,0,0,0,0,0,0,0,0,25,17,58,3,3498
1159417_GRDC,11489486,1474,17,5,1,163,16,9,0,0,0,0,0,0,0,0,0,0,0,26,19,55,3,8608
1159419_GRDC,11489589,1400,10,18,0,96,16,9,0,0,0,0,0,0,0,0,0,0,0,25,17,58,3,4587
1159500_GRDC,11492677,1508,17,0,1,177,12,10,0,1,0,0,0,0,0,0,0,0,0,27,20,52,10,6937
1159511_GRDC,11483130,1467,14,4,1,287,16,9,0,0,0,0,0,0,0,0,0,0,0,27,20,54,3,8235
1159512_GRDC,11487924,1659,25,22,0,290,16,10,0,0,0,0,0,0,0,0,0,0,0,25,21,54,3,8114
1159513_GRDC,11485451,1548,20,21,1,297,16,9,0,0,0,0,0,0,0,0,0,0,0,27,21,52,3,10368
1159520_GRDC,11482720,1434,8,14,0,60,16,9,0,0,0,0,0,0,0,0,0,0,0,25,18,57,3,8084
1159525_GRDC,11480132,1470,12,10,0,219,16,10,0,0,0,0,0,0,0,0,0,0,0,29,21,50,3,9340
1159530_GRDC,11482975,1383,7,30,0,232,16,9,0,0,0,0,0,0,0,0,0,0,0,30,19,51,10,3196
1159540_GRDC,11484704,1303,3,8,0,244,16,10,0,0,0,0,0,0,0,0,0,0,0,26,20,54,3,3682
1159546_GRDC,11478862,1421,13,20,0,110,22,9,0,0,0,0,0,0,0,0,0,0,0,27,20,53,8,8410
1159547_GRDC,11478491,1510,14,8,0,152,16,10,0,0,0,0,0,0,0,0,0,0,0,27,19,53,10,6354
1159548_GRDC,11476167,1547,13,15,0,337,16,10,0,0,0,0,0,0,0,0,0,0,0,27,19,54,10,4796
1159549_GRDC,11473774,1588,14,21,1,176,16,10,0,0,0,0,0,0,0,0,0,0,0,25,17,58,6,4291
1159550_GRDC,11479317,1648,27,7,2,430,16,10,0,1,0,0,0,0,0,0,0,0,0,30,23,47,10,9361
1159555_GRDC,11477056,1656,27,6,2,456,16,10,0,1,0,0,0,0,0,0,0,0,0,30,23,47,3,9291
1159560_GRDC,11477167,1542,13,11,1,122,16,10,0,0,0,0,0,0,0,0,0,0,0,26,20,53,3,7541
1159570_GRDC,11475902,1598,21,9,3,122,16,10,0,0,0,0,0,0,0,0,0,0,0,25,19,55,3,5747
